WKT,field_1,segmentId,newSegmentId,speedLimit,frc,streetName,distance,timeSet,dateRange,harmonicAverageSpeed,medianSpeed,averageSpeed,standardDeviationSpeed,travelTimeStandardDeviation,sampleSize,averageTravelTime,medianTravelTime,travelTimeRatio
"LINESTRING (39.21918 21.60801,39.21903 21.6081,39.21894 21.60818)",12387,-16820023252867,-00005330-3800-0400-0000-000002af1242,60,2,طريق الحرمين,30.58,2,1,26.03,57.5,51.53,21.18,6.43,160078,4.23,1.91,1
"LINESTRING (39.22008 21.60799,39.2198 21.60795,39.21945 21.60793,39.21933 21.60795,39.21918 21.60801)",12427,-16820023252864,-00005330-3800-0400-0000-000002af12b5,60,2,طريق الحرمين,95.27,2,1,31.34,59,54.15,20.17,15.88,158684,10.94,5.81,1
"LINESTRING (39.21894 21.60818,39.2188 21.60835,39.21873 21.60855,39.21871 21.60868,39.21873 21.60885,39.21882 21.60908,39.21898 21.60929,39.21932 21.60957,39.21955 21.60967,39.21984 21.60968,39.22004 21.60963,39.22031 21.60945,39.2207 21.60904)",69101,-16820020713938,-00005330-3800-0400-0000-000002c3f7ee,80,2,طريق الحرمين,356.66,2,1,20.59,50.5,42.5,22.81,70.44,154899,62.35,25.43,1
"LINESTRING (39.22241 21.60853,39.22264 21.60855,39.22277 21.60856,39.22287 21.60855,39.22295 21.60855,39.22303 21.60853,39.22312 21.6085,39.22321 21.60846,39.22328 21.60842,39.22334 21.60838,39.2234 21.60833,39.22345 21.60828,39.22349 21.60823,39.22352 21.60817,39.22356 21.6081,39.22358 21.60805,39.2236 21.60798,39.22361 21.6079,39.22361 21.60781,39.22361 21.60773,39.2236 21.60764,39.22358 21.60756,39.22354 21.60746,39.22348 21.60733,39.22342 21.60723,39.22335 21.60713,39.22329 21.60705,39.22319 21.60695,39.2231 21.60688,39.22303 21.60683,39.22294 21.60678,39.22286 21.60675,39.22279 21.60673,39.2227 21.60672,39.22263 21.60671,39.22256 21.60671,39.2225 21.60672,39.22243 21.60673,39.22237 21.60675,39.22228 21.60678,39.22222 21.60681,39.22216 21.60684,39.22211 21.60688,39.22205 21.60692,39.22201 21.60696,39.22198 21.607,39.22193 21.60706,39.22189 21.60712,39.22185 21.60718,39.22176 21.60731,39.22159 21.6074)",69139,-16820021229787,-00005330-3800-0400-0000-000002c40196,50,2,طريق الحرمين,483.78,2,1,60.27,60.6,61.33,8.02,4.34,90316,28.9,28.74,1
"LINESTRING (39.22292 21.60931,39.22277 21.60909,39.22254 21.60886,39.22236 21.60873)",69140,-16820023252889,-00005330-3800-0400-0000-000002c401b5,80,2,الشيخ عبد العزيز بن باز,86.86,2,1,49.19,56.5,55.7,12.23,4.97,214662,6.36,5.53,1
"LINESTRING (39.22089 21.60926,39.22094 21.60941,39.22096 21.6097,39.22101 21.60989,39.22106 21.61001,39.22117 21.61018,39.22126 21.61029,39.22147 21.61039,39.22159 21.61043,39.22179 21.61045,39.222 21.61043,39.2223 21.61037,39.22259 21.61023,39.2228 21.61007,39.22294 21.60984,39.22299 21.60962,39.22295 21.60937,39.22292 21.60931)",69141,-16820023252873,-00005330-3800-0400-0000-000002c401c8,80,2,الشيخ عبد العزيز بن باز,385.22,2,1,54.67,56.7,57.03,8.97,10.35,210914,25.37,24.46,1
"LINESTRING (39.22177 21.60854,39.22123 21.60836)",267240,16820021261700,00005330-3800-0400-0000-000002af124e,100,2,الشيخ عبد العزيز بن باز,59.57,2,1,61.17,69.6,70.7,19.23,3.21,415222,3.51,3.08,1
"LINESTRING (39.22123 21.60836,39.22112 21.60832)",267249,16820021261712,00005330-3800-0400-0000-000002af126a,100,2,طريق الشيخ عبدالعزيز بن باز,11.76,2,1,60.72,70.2,70.67,19.06,0.71,416313,0.7,0.6,1
"LINESTRING (39.22112 21.60832,39.22099 21.60828)",267254,16820021261709,00005330-3800-0400-0000-000002af1278,100,2,طريق الشيخ عبدالعزيز بن باز,14.54,2,1,59.8,70.4,70.51,18.89,1.11,415772,0.88,0.74,1
"LINESTRING (39.2213 21.60819,39.22187 21.60836)",267257,16820021261710,00005330-3800-0400-0000-000002af127d,100,2,الشيخ عبد العزيز بن باز,61.35,2,1,71.11,72.9,73.74,13.22,1.06,405048,3.11,3.03,1
"LINESTRING (39.22119 21.60815,39.2213 21.60819)",267269,16820021261702,00005330-3800-0400-0000-000002af1294,100,2,طريق الشيخ عبدالعزيز بن باز,12.48,2,1,70.65,72.5,73.42,13.34,0.39,406418,0.64,0.62,1
"LINESTRING (39.22106 21.60811,39.22119 21.60815)",267273,16820021261707,00005330-3800-0400-0000-000002af129f,100,2,طريق الشيخ عبدالعزيز بن باز,14.74,2,1,70.39,72.1,73.21,13.59,0.26,406655,0.75,0.74,1
"LINESTRING (39.22099 21.60828,39.22052 21.60812)",267285,16820021261703,00005330-3800-0400-0000-000002af12b4,100,2,طريق الشيخ عبدالعزيز بن باز,51.68,2,1,58.74,70.6,70.05,18.84,3.28,413687,3.17,2.64,1
"LINESTRING (39.22057 21.60795,39.22106 21.60811)",267304,16820021261706,00005330-3800-0400-0000-000002af12d9,100,2,طريق الشيخ عبدالعزيز بن باز,53.36,2,1,69.85,71.3,72.78,14,0.8,406018,2.75,2.69,1
"LINESTRING (39.2207 21.60904,39.2208 21.60878)",308524,16820023252886,00005330-3800-0400-0000-000002b11308,100,0,طريق الحرمين,30.78,2,1,56.27,62.9,65.59,22.35,1.12,1097742,1.97,1.76,1
"LINESTRING (39.21635 21.6066,39.21661 21.60669,39.21679 21.60675,39.21757 21.60699,39.21768 21.60703,39.21776 21.60706,39.21983 21.60771)",349216,16820021222194,00005330-3800-0400-0000-000002c3f806,100,4,طريق الشيخ عبدالعزيز بن باز,381.08,2,1,72.38,75.8,75.27,12.7,5.36,185996,18.95,18.1,1
"LINESTRING (39.21983 21.60771,39.22007 21.60779)",349308,16820023252908,00005330-3800-0400-0000-000002c3fc3d,100,4,طريق الشيخ عبدالعزيز بن باز,26.03,2,1,75.66,79.4,79.2,14.69,0.42,190230,1.24,1.18,1
"LINESTRING (39.22007 21.60779,39.22019 21.60783,39.22057 21.60795)",349309,16820021261704,00005330-3800-0400-0000-000002c3fc3e,100,2,طريق الشيخ عبدالعزيز بن باز,54.56,2,1,68.54,69.5,71.6,14.5,0.76,405597,2.87,2.83,1
"LINESTRING (39.22134 21.60736,39.22136 21.60688,39.22134 21.60664,39.22124 21.60641,39.22114 21.60629,39.22104 21.6062,39.22076 21.60607,39.22046 21.60604,39.22018 21.60607,39.21982 21.60622,39.21958 21.60639,39.21948 21.60653,39.21942 21.60666,39.21938 21.60681,39.21936 21.60696,39.21942 21.60719,39.21949 21.60731,39.21959 21.60743,39.22007 21.60779)",349310,16820023252907,00005330-3800-0400-0000-000002c3fc3f,50,2,الشيخ عبد العزيز بن باز,493.1,2,1,59.67,59.9,61.02,9.33,4.72,210909,29.75,29.64,1
"LINESTRING (39.22052 21.60812,39.22032 21.60806)",349311,16820021261708,00005330-3800-0400-0000-000002c3fc40,100,2,طريق الشيخ عبدالعزيز بن باز,22.12,2,1,55.58,70.6,69.78,19.42,1.89,413864,1.43,1.13,1
"LINESTRING (39.22032 21.60806,39.22008 21.60799)",349312,16820023252910,00005330-3800-0400-0000-000002c3fc41,100,2,طريق الشيخ عبدالعزيز بن باز,25.98,2,1,53.82,70.3,69.43,19.88,2.4,413445,1.74,1.33,1
"LINESTRING (39.22187 21.60836,39.22227 21.60849,39.22241 21.60853)",349350,16820021261711,00005330-3800-0400-0000-000002c40194,100,2,الشيخ عبد العزيز بن باز,58.85,2,1,71.48,73.5,74.25,13.89,0.76,405596,2.96,2.88,1
"LINESTRING (39.22241 21.60853,39.22442 21.60919,39.22573 21.60965,39.22695 21.61003)",349352,16820023252893,00005330-3800-0400-0000-000002c4019b,100,2,الشيخ عبد العزيز بن باز,498.98,2,1,80.8,83.2,83.23,13.43,4.52,308346,22.23,21.59,1
"LINESTRING (39.22236 21.60873,39.22215 21.60866,39.22177 21.60854)",349356,16820021261713,00005330-3800-0400-0000-000002c401b4,100,2,الشيخ عبد العزيز بن باز,64.89,2,1,59.99,68,70.14,20.17,3.37,416346,3.89,3.44,1
